# Program:featureCounts v1.5.0-p3; Command:"/grp/gf/bin/bpucker/featureCounts/subread-1.5.0-p3-Linux-x86_64/bin/featureCounts" "-t" "gene" "-g" "old_locus_tag" "-a" "/vol/cluster-data/bpucker/nadja/ATCC13032.gff" "-o" "/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel.count_table.txt" "/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel/Aligned.sortedByCoord.out.bam
cg0001	NC_006958.1	1	1575	+	1575	1010
cg0004	NC_006958.1	2292	3476	+	1185	1574
cg0005	NC_006958.1	3585	4769	+	1185	469
cg0006	NC_006958.1	4766	5302	+	537	98
cg0007	NC_006958.1	5435	7489	+	2055	7540
cg0008	NC_006958.1	7830	8798	+	969	325
cg0009	NC_006958.1	8795	9376	-	582	331
cg0010	NC_006958.1	9471	9914	-	444	1170
cg0012	NC_006958.1	10104	11171	-	1068	236
cg0013	NC_006958.1	11260	11523	-	264	14
cg0014	NC_006958.1	11520	11729	-	210	7
cg0015	NC_006958.1	11831	14401	+	2571	6266
cg0016	NC_006958.1	14405	14749	+	345	957
cgtRNA_3528	NC_006958.1	14851	14927	+	77	26
cgtRNA_3529	NC_006958.1	14939	15011	+	73	8
cg0018	NC_006958.1	15206	16243	-	1038	193
cg0019	NC_006958.1	16314	17210	+	897	137
cg0021	NC_006958.1	17260	17673	+	414	50
cg0025	NC_006958.1	17857	18729	-	873	158
cg0026	NC_006958.1	18733	19497	-	765	142
cg0027	NC_006958.1	19705	20076	+	372	46
cg0029	NC_006958.1	20073	21068	+	996	100
cg0034	NC_006958.1	21597	22127	+	531	47
cg0035	NC_006958.1	22164	23402	+	1239	183
cgtRNA_3530	NC_006958.1	23500	23572	+	73	5
cgtRNA_3531	NC_006958.1	23903	23979	+	77	0
cgtRNA_3532	NC_006958.1	23991	24063	+	73	1
cg0038	NC_006958.1	24295	24732	+	438	42
cg0039	NC_006958.1	24882	26573	-	1692	349
cg0040	NC_006958.1	26819	28099	-	1281	34
cg0041	NC_006958.1	28161	29117	-	957	10
cg0042	NC_006958.1	29114	29965	-	852	11
cg0043	NC_006958.1	29995	30654	+	660	14
cg0044	NC_006958.1	30697	31680	+	984	2377
cg0045	NC_006958.1	31677	32702	+	1026	1668
cg0046	NC_006958.1	32699	33460	+	762	1574
cg0047	NC_006958.1	33462	34274	-	813	3794
cg0048	NC_006958.1	34378	34902	+	525	10148
cg0049	NC_006958.1	35012	35671	+	660	184
cg0051	NC_006958.1	36244	37242	-	999	5
cg0052	NC_006958.1	37245	38201	+	957	42
cg0053	NC_006958.1	38202	38981	+	780	10
cg0054	NC_006958.1	38978	39802	+	825	10
cg0055	NC_006958.1	40186	40458	-	273	713
cg0057	NC_006958.1	40573	42513	-	1941	923
cg0059	NC_006958.1	42510	43919	-	1410	1057
cg0060	NC_006958.1	43923	45347	-	1425	1671
cg0061	NC_006958.1	45344	46669	-	1326	1550
cg0062	NC_006958.1	46666	48021	-	1356	2057
cg0063	NC_006958.1	48021	48485	-	465	1177
cg0064	NC_006958.1	48502	49398	-	897	2610
cgtRNA_3533	NC_006958.1	49705	49791	+	87	372
	NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1;NC_006958.1	49894;50751;116546;128097;223790;377833;826712;841907;849186;959310;983761;1045944;1089130;1105182;1124335;1193597;1343666;1365804;1406784;1422311;1479967;1557302;1603395;1889700;1919033;1933842;1934991;1938955;1947801;1962583;2006036;2234539;2246142;2342591;2349154;2357583;2534060;2566861;2574865;2582520;2584302;2675142;2675621;2680794;2684487;2730149;2778419;2914775;3074820;3100393;3117799;3119509;3135692;3139363;3153662;3153855;3255652;3260384;76277;118214;157741;162563;186878;244467;265752;330701;370893;396741;532148;749493;840882;841617;856950;857228;955442;961551;1094696;1097867;1192666;1345240;1374272;1409077;1409717;1480467;1486193;1796296;1801176;1805102;1808413;1844393;1864417;1867091;1945599;1966607;2105694;2342096;2350007;2351099;2357882;2585563;2595477;2605265;2923513;3075221;3076393;3130546;3131431;3133296;3144380;3218727;3265840;3282336	50274;50972;118090;128861;224038;378057;827131;842623;849590;960200;984144;1046282;1089847;1105391;1124520;1193812;1343926;1366253;1406999;1422529;1480356;1557466;1603652;1890566;1919542;1934249;1935281;1939209;1948025;1962993;2006236;2235141;2246303;2342998;2349399;2357864;2534281;2567328;2575062;2583206;2584613;2675345;2678708;2680990;2687572;2730433;2779750;2915593;3075035;3100641;3117987;3122595;3135919;3139695;3153844;3154253;3256254;3260590;76473;118504;158142;162871;187306;244820;266045;330880;371777;396935;532525;749918;841106;841805;857132;857419;955738;961847;1096166;1098106;1193013;1345503;1374601;1409289;1409920;1480670;1487497;1797096;1801841;1805368;1808871;1844812;1866774;1867297;1946039;1966810;2106194;2342584;2350165;2351446;2358256;2586177;2595725;2605741;2923740;3076078;3077073;3130764;3132144;3133526;3144926;3219077;3266808;3282632	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	55726	127157
cg0066	NC_006958.1	50963	51436	-	474	397
cg0067	NC_006958.1	51623	53095	-	1473	572
cg0070	NC_006958.1	53055	54011	+	957	74
cg0071	NC_006958.1	54179	55549	+	1371	81
cg0072	NC_006958.1	55626	56372	-	747	37
cg0073	NC_006958.1	56383	56676	-	294	25
cg0074	NC_006958.1	56677	57270	-	594	28
cg0075	NC_006958.1	57397	57654	+	258	135
cg0076	NC_006958.1	58087	58944	+	858	77
cg0077	NC_006958.1	59091	59933	+	843	23
cg0078	NC_006958.1	59952	60665	+	714	12
cg0079	NC_006958.1	60699	62324	+	1626	50
cg0080	NC_006958.1	62387	63508	-	1122	400
cg0081	NC_006958.1	63591	64040	-	450	561
cg0082	NC_006958.1	64163	65461	+	1299	561
cg0083	NC_006958.1	65505	66197	-	693	191
cg0085	NC_006958.1	66699	67976	+	1278	77
cg0087	NC_006958.1	68249	68635	-	387	60
cg0088	NC_006958.1	68718	70298	-	1581	135
cg0089	NC_006958.1	70507	72162	+	1656	202
cg0090	NC_006958.1	72162	72818	+	657	152
cg0091	NC_006958.1	72815	73729	-	915	432
cg0092	NC_006958.1	73845	74276	+	432	1230
cg0095	NC_006958.1	74491	75495	+	1005	378
cg0096	NC_006958.1	75507	75746	+	240	12
cg0097	NC_006958.1	75698	76039	+	342	7
cgr01	NC_006958.1	76637	78173	+	1537	587
cgr02	NC_006958.1	78555	81642	+	3088	63
cgr03	NC_006958.1	81758	81874	+	117	0
cg0103	NC_006958.1	82118	83569	-	1452	30
cg0104	NC_006958.1	83689	84936	-	1248	148
cg0105	NC_006958.1	85096	85404	-	309	246
cg0107	NC_006958.1	85661	86221	-	561	4045
cg0108	NC_006958.1	86319	87245	+	927	65
cg0109	NC_006958.1	87559	88533	-	975	351
cg0110	NC_006958.1	88543	89445	-	903	32
cg0111	NC_006958.1	89616	90449	+	834	57
cg0112	NC_006958.1	90459	90974	-	516	82
cg0113	NC_006958.1	91175	91477	+	303	147
cg0114	NC_006958.1	91504	91992	+	489	153
cg0115	NC_006958.1	91993	93705	+	1713	521
cg0116	NC_006958.1	93730	94203	+	474	129
cg0117	NC_006958.1	94203	94883	+	681	119
cg0118	NC_006958.1	94900	95517	+	618	77
cg0119	NC_006958.1	95518	96369	+	852	111
cg0120	NC_006958.1	96366	97145	-	780	184
cg0121	NC_006958.1	97317	98471	-	1155	231
cg0122	NC_006958.1	98806	101583	-	2778	1343
cg0123	NC_006958.1	101610	103436	-	1827	739
cg0124	NC_006958.1	103504	104913	+	1410	704
cg0126	NC_006958.1	105171	105752	-	582	130
cg0127	NC_006958.1	105839	106393	-	555	22
cg0128	NC_006958.1	106628	107179	-	552	22
cg0129	NC_006958.1	107436	110894	+	3459	1693
cg0131	NC_006958.1	111375	112322	+	948	570
cg0133	NC_006958.1	112564	114087	+	1524	1111
cg0134	NC_006958.1	114094	115482	+	1389	1012
cg0135	NC_006958.1	115579	115947	+	369	251
cg0136	NC_006958.1	115950	116267	+	318	116
cg0139	NC_006958.1	118808	119590	-	783	1128
cg0141	NC_006958.1	120022	120414	+	393	905
cg0142	NC_006958.1	120411	120923	-	513	442
cg0143	NC_006958.1	120949	122460	-	1512	140
cg0144	NC_006958.1	122505	123842	-	1338	79
cg0146	NC_006958.1	124122	124970	+	849	246
cg0147	NC_006958.1	124972	126354	+	1383	966
cg0148	NC_006958.1	126351	127190	-	840	1255
cg0149	NC_006958.1	127190	127999	-	810	1592
cg0151	NC_006958.1	129487	130056	-	570	126
cg0152	NC_006958.1	130146	130802	+	657	106
cg0153	NC_006958.1	130813	131712	-	900	109
cg0154	NC_006958.1	131823	132428	+	606	412
cg0155	NC_006958.1	132425	132985	+	561	306
